pd,factor_delp,factor_A,p_risk,PLoss,lagr,optimal_total_cost,P1,P2,P3,P4,P5,P6
630.0,30.0,30.4,0.033777777777777775,7.249690021752481,10.40442849768352,7524.753586339074,318.63710034045016,50.0,118.61344927355334,50.0,50.0,50.0
630.0,35.0,30.4,0.024816326530612245,7.2496819572939595,10.40454701614166,7524.75022852695,318.63313011691463,50.0,118.61741205506564,50.0,50.0,50.0
630.0,40.0,30.4,0.019,7.231360778685068,10.7142508804705,7518.17215023184,309.1841651948253,50.0,128.04748588701688,50.0,50.0,50.0
630.0,45.0,30.4,0.015012345679012344,10.095839077374245,10.600892577299463,7653.512144414,210.0967886154676,200.0,80.0,50.0,50.0,50.0
635.0,30.0,30.4,0.033777777777777775,7.334849165931293,10.515698358417557,7579.32891790656,318.99896969339585,50.0,123.33616896663106,50.0,50.0,50.0
635.0,35.0,30.4,0.024816326530612245,7.334837436036207,10.515884603889903,7579.324396747535,318.99307145683173,50.0,123.34205582115047,50.0,50.0,50.0
635.0,40.0,30.4,0.019,7.334829627219789,10.516008609101531,7579.321387395179,318.9891446889902,50.0,123.34597501194447,50.0,50.0,50.0
635.0,45.0,30.4,0.015012345679012344,7.334824477959717,10.516090388031392,7579.319403185058,318.98655522783315,50.0,123.34855947676037,50.0,50.0,50.0
640.0,30.0,30.4,0.033777777777777775,7.395664980573719,11.165592632567115,7627.912662975752,305.60185500789447,50.0,141.7943054122881,50.0,50.0,50.0
640.0,35.0,30.4,0.024816326530612245,7.397019685227878,11.129492588754323,7628.120513259622,306.4115389002069,50.0,140.98591420312883,50.0,50.0,50.0
640.0,40.0,30.4,0.019,7.419406669255373,10.651370472610097,7633.9351121716445,318.79038593275055,50.0,128.62955132233617,50.0,50.0,50.0
640.0,45.0,30.4,0.015012345679012344,7.419400328463275,10.651481447208466,7633.93292170267,318.7871045652217,50.0,128.6328266623763,50.0,50.0,50.0
645.0,30.0,30.4,0.033777777777777775,9.681860019688976,10.610594110352245,7740.448664739288,256.47682057000554,160.41976889046816,87.78498493445203,50.0,50.0,50.0
645.0,35.0,30.4,0.024816326530612245,9.678885851709863,10.609935744878468,7740.127514005179,256.57458026278664,160.1956484750359,87.90837527257389,50.0,50.0,50.0
645.0,40.0,30.4,0.019,9.677027813439551,10.609533953839748,7739.932221240246,256.63639298240633,160.05484821760933,87.98607168091775,50.0,50.0,50.0
645.0,45.0,30.4,0.015012345679012344,7.494698750642336,11.001906219728287,7686.449544145206,313.20132716927003,50.0,139.29403530860816,50.0,50.0,50.0
650.0,30.0,30.4,0.033777777777777775,9.875285840309703,10.453251560310084,7800.448904900689,257.2316498127387,165.10744600770775,87.5364703593084,50.0,50.0,50.0
650.0,35.0,30.4,0.024816326530612245,9.875461295810494,10.453665730942365,7800.464263560609,257.2249128720201,165.12190430268478,87.52836388805707,50.0,50.0,50.0
650.0,40.0,30.4,0.019,9.875589050627001,10.453949061042813,7800.478710864931,257.22063391409694,165.1316864642907,87.52298790237803,50.0,50.0,50.0
650.0,45.0,30.4,0.015012345679012344,9.875699698213424,10.454169616112022,7800.495731834315,257.21779432856664,165.13912754860036,87.51906000064102,50.0,50.0,50.0
655.0,30.0,30.4,0.033777777777777775,10.023090069205999,10.642583265936636,7855.355521058191,259.5498121224236,166.22199680389244,89.25102010944167,50.0,50.0,50.0
655.0,35.0,30.4,0.024816326530612245,10.023092504343207,10.64258195137242,7855.355805665314,259.54973526074554,166.2221763787062,89.25092192426195,50.0,50.0,50.0
655.0,40.0,30.4,0.019,10.02309395557609,10.642581171928956,7855.3559765152495,259.54968968776006,166.22228311816735,89.25086360939738,50.0,50.0,50.0
655.0,45.0,30.4,0.015012345679012344,10.023095361586169,10.642580416773152,7855.356142041354,259.5496455348235,166.22238653158624,89.25080711164259,50.0,50.0,50.0
660.0,30.0,30.4,0.033777777777777775,10.149190064565186,10.69278455800698,7908.03154953178,262.59976099646536,165.6605984017514,91.88908203740863,50.0,50.0,50.0
660.0,35.0,30.4,0.024816326530612245,10.149193919770209,10.692781943390303,7908.031789424214,262.59960986828594,165.6609142845395,91.88890193846238,50.0,50.0,50.0
660.0,40.0,30.4,0.019,10.149196048393033,10.692780721957059,7908.031993215323,262.5995393275185,165.6610733188473,91.88881360984276,50.0,50.0,50.0
660.0,45.0,30.4,0.015012345679012344,10.14919710797646,10.692780115084181,7908.032095021636,262.5995042794637,165.66115240455676,91.88876969825061,50.0,50.0,50.0
665.0,30.0,30.4,0.033777777777777775,10.275110667005666,10.743295976559628,7960.942546029024,265.65172566440407,165.08719353925545,94.53641665105575,50.0,50.0,50.0
665.0,35.0,30.4,0.024816326530612245,10.27511331656631,10.743294495083072,7960.942785603397,265.6516412065133,165.08738515751998,94.53631003784918,50.0,50.0,50.0
665.0,40.0,30.4,0.019,10.275115288333991,10.743293392848864,7960.942963978596,265.65157836902944,165.08752773980058,94.53623071047066,50.0,50.0,50.0
665.0,45.0,30.4,0.015012345679012344,10.275116411289135,10.74329276495464,7960.943065516107,265.651542573199,165.08760895321234,94.53618552465211,50.0,50.0,50.0
670.0,30.0,30.4,0.033777777777777775,10.400875987840985,10.794107783018736,8014.095394080791,268.7047321494269,164.50415156387587,97.1918515681833,50.0,50.0,50.0
670.0,35.0,30.4,0.024816326530612245,10.400878535085083,10.794106470391668,8014.095637666423,268.7046583522842,164.5043250306679,97.1917557340326,50.0,50.0,50.0
670.0,40.0,30.4,0.019,10.400846345283151,10.794123058043445,8014.092559484232,268.7055909219129,164.50213293355537,97.19296678921977,50.0,50.0,50.0
670.0,45.0,30.4,0.015012345679012344,10.400846996403924,10.794122722547552,8014.092621757027,268.70557206019384,164.5021772720314,97.19294229408837,50.0,50.0,50.0
675.0,30.0,30.4,0.033777777777777775,10.526460333589519,10.845273869274019,8067.504751376037,271.7614106736522,163.90778453612938,99.85807675167547,50.0,50.0,50.0
675.0,35.0,30.4,0.024816326530612245,10.526462655792697,10.845272489851183,8067.504887245145,271.7613339131935,163.90795285272588,99.85798024128357,50.0,50.0,50.0
675.0,40.0,30.4,0.019,10.526437612565838,10.845290067519727,8067.504393732622,271.7623154106998,163.90594238226964,99.8591748802724,50.0,50.0,50.0
675.0,45.0,30.4,0.015012345679012344,10.526438742414465,10.845289385600623,8067.504455957585,271.76227745099766,163.9060250532641,99.85912731074299,50.0,50.0,50.0
680.0,30.0,30.4,0.033777777777777775,10.651786399216896,10.896773585690584,8121.146320060911,274.82004513098946,163.29816134422677,102.53424670986603,50.0,50.0,50.0
680.0,35.0,30.4,0.024816326530612245,10.65178903009255,10.896772098713393,8121.146477127261,274.81996356997615,163.29834334925303,102.53414275631457,50.0,50.0,50.0
680.0,40.0,30.4,0.019,10.651790141610226,10.89677147046592,8121.146543481023,274.81992911042835,163.2984202455991,102.53409883616145,50.0,50.0,50.0
680.0,45.0,30.4,0.015012345679012344,10.651791269895032,10.896770832752878,8121.146610840195,274.81989413169583,163.2984983011439,102.53405425410497,50.0,50.0,50.0
685.0,30.0,30.4,0.033777777777777775,10.776879507589495,10.948617594714777,8175.034321220905,277.8807660361651,162.67628435362252,105.22028588193184,50.0,50.0,50.0
685.0,35.0,30.4,0.024816326530612245,10.776882330121028,10.948616083436608,8175.034496663084,277.88068439576125,162.67647037939517,105.22018021054755,50.0,50.0,50.0
685.0,40.0,30.4,0.019,10.77688418535843,10.94861509007721,8175.0346119800415,277.8806307336831,162.67659265361243,105.22011075301727,50.0,50.0,50.0
685.0,45.0,30.4,0.015012345679012344,10.776885428063895,10.948614424687642,8175.034689223351,277.8805947887812,162.6766745574646,105.22006422774913,50.0,50.0,50.0
690.0,30.0,30.4,0.033777777777777775,10.90172342402568,11.000794228510287,8229.162992656346,280.94242082910074,162.0434201529175,107.91525506172351,50.0,50.0,50.0
690.0,35.0,30.4,0.024816326530612245,10.90172729944977,11.000792816247403,8229.16346471716,280.9423470748881,162.04362328831056,107.91515143763706,50.0,50.0,50.0
690.0,40.0,30.4,0.019,10.901729343986418,11.000791896623578,8229.163642689631,280.9422984117165,162.0437438752856,107.91508524095288,50.0,50.0,50.0
690.0,45.0,30.4,0.015012345679012344,10.901730704607,11.000791284622695,8229.163761129152,280.942266026825,162.04382412483338,107.91504118767072,50.0,50.0,50.0
695.0,30.0,30.4,0.033777777777777775,11.026310909509258,11.053356555316125,8283.55373914233,284.0074207835993,161.39672171826487,110.62166831135495,50.0,50.0,50.0
695.0,35.0,30.4,0.024816326530612245,11.026314158459948,11.05335508850372,8283.553996367637,284.0073443092154,161.39691046709714,110.62156388974252,50.0,50.0,50.0
695.0,40.0,30.4,0.019,11.02631624320143,11.053354147300869,8283.554161421414,284.00729523820894,161.39703158085302,110.62149688595342,50.0,50.0,50.0
695.0,45.0,30.4,0.015012345679012344,11.026317667554666,11.053353504245381,8283.554274191198,284.0072617115412,161.39711432914604,110.62145110711354,50.0,50.0,50.0
700.0,30.0,30.4,0.033777777777777775,11.150605521539823,11.106293332382997,8338.195835468025,287.07454654492415,160.73698419272435,113.33868217401735,50.0,50.0,50.0
700.0,35.0,30.4,0.024816326530612245,11.150608748536321,11.106291871348057,8338.196066949928,287.0744715241569,160.7371687245854,113.33857934850013,50.0,50.0,50.0
700.0,40.0,30.4,0.019,11.150610962826192,11.10629086857833,8338.19622568409,287.0744200333704,160.73729536431165,113.3385087759651,50.0,50.0,50.0
700.0,45.0,30.4,0.015012345679012344,11.150612503823314,11.106290170718271,8338.196336152881,287.07438419923864,160.7373834970846,113.33845966222047,50.0,50.0,50.0
705.0,30.0,30.4,0.033777777777777775,11.274554328984244,11.159629593897888,8393.088865509086,290.1445099842773,160.06217316453862,116.06754531578596,50.0,50.0,50.0
705.0,35.0,30.4,0.024816326530612245,11.27455815678433,11.15962785929179,8393.089113913979,290.14442230213376,160.06238840641242,116.06742457094494,50.0,50.0,50.0
705.0,40.0,30.4,0.019,11.274560846984203,11.159626640197837,8393.089288494051,290.1443606784055,160.0625396799802,116.06733971054875,50.0,50.0,50.0
705.0,45.0,30.4,0.015012345679012344,11.274562592951227,11.159625848993887,8393.08940179886,290.14432068397457,160.06263785809767,116.06728463528925,50.0,50.0,50.0
710.0,30.0,30.4,0.033777777777777775,11.398127304979033,11.213380389001102,8448.234686102605,293.2174492107088,159.37167050187568,118.80873453508265,50.0,50.0,50.0
710.0,35.0,30.4,0.024816326530612245,11.398132289555145,11.213378131448398,8448.234978172719,293.21733692292787,159.37194589909913,118.80857907723758,50.0,50.0,50.0
710.0,40.0,30.4,0.019,11.398135506706666,11.213376674376946,8448.235166682738,293.21726444996943,159.372123646465,118.80847874141942,50.0,50.0,50.0
710.0,45.0,30.4,0.015012345679012344,11.398137664681025,11.21337569701508,8448.235293130709,293.21721583714174,159.37224287443604,118.80841143898044,50.0,50.0,50.0
715.0,30.0,30.4,0.033777777777777775,11.521334845244597,11.267542536323576,8503.637421081914,296.2925647121623,158.66712390464556,121.56144630884677,50.0,50.0,50.0
715.0,35.0,30.4,0.024816326530612245,11.521341012474625,11.267539747334778,8503.63774638054,296.2924282781959,158.6674585223187,121.56125630058801,50.0,50.0,50.0
715.0,40.0,30.4,0.019,11.521345010101005,11.267537939501043,8503.637957243016,296.2923398410114,158.66767542322964,121.56113313633476,50.0,50.0,50.0
715.0,45.0,30.4,0.015012345679012344,11.521347740014473,11.267536704961687,8503.638101238645,296.2922794486773,158.66782354140344,121.56104902946866,50.0,50.0,50.0
720.0,30.0,30.4,0.033777777777777775,11.644158186567866,11.322126401216401,8559.299088496642,299.36972327004264,157.94852651366926,124.3258014848596,50.0,50.0,50.0
720.0,35.0,30.4,0.024816326530612245,11.644165782354047,11.322122973764403,8559.29944783262,299.3695584474753,157.94893107587504,124.32557045854634,50.0,50.0,50.0
720.0,40.0,30.4,0.019,11.644170602627987,11.322120798708559,8559.299675868966,299.3694538511071,157.94918781089996,124.32542384939387,50.0,50.0,50.0
720.0,45.0,30.4,0.015012345679012344,11.644173821871384,11.322119346199164,8559.299828215802,299.3693840016612,157.94935926553552,124.32532594217248,50.0,50.0,50.0
725.0,30.0,30.4,0.033777777777777775,11.766577021397437,11.377143434402052,8615.221628245974,302.4488140505998,157.2158014833814,127.10196407039743,50.0,50.0,50.0
725.0,35.0,30.4,0.024816326530612245,11.76658612402857,11.377139338101305,8615.222012735525,302.4486205035623,157.2162772607657,127.1016908996249,50.0,50.0,50.0
725.0,40.0,30.4,0.019,11.766592074919874,11.377136660133385,8615.22226410508,302.4484939713668,157.21658830274686,127.10151231306169,50.0,50.0,50.0
725.0,45.0,30.4,0.015012345679012344,11.766596115248852,11.37713484194094,8615.222434773204,302.4484080628475,157.21679948343552,127.10139106251243,50.0,50.0,50.0
730.0,30.0,30.4,0.033777777777777775,11.88857064147864,11.432605695345158,8671.406983883207,305.5297224028929,156.46886635253384,129.890105651047,50.0,50.0,50.0
730.0,35.0,30.4,0.024816326530612245,11.888581768702819,11.432600703137572,8671.407401269056,305.5294907661059,156.46943698010062,129.88977630286143,50.0,50.0,50.0
730.0,40.0,30.4,0.019,11.888588963308813,11.43259747529422,8671.407671146935,305.52934099477704,156.4698059354685,129.88956335370852,50.0,50.0,50.0
730.0,45.0,30.4,0.015012345679012344,11.888593878839602,11.432595269953909,8671.40785553674,305.5292386671903,156.47005801514825,129.889417861536,50.0,50.0,50.0
735.0,30.0,30.4,0.033777777777777775,12.01012031549531,11.48852483132905,8727.85718800737,308.6122812936298,155.70775284804395,132.6903364059025,50.0,50.0,50.0
735.0,35.0,30.4,0.024816326530612245,12.010133663731395,11.48851886191078,8727.857629673212,308.61200944348843,155.70842436338876,132.689946855191,50.0,50.0,50.0
735.0,40.0,30.4,0.019,12.010142299702572,11.4885149998515,8727.85791542744,308.61183356281055,155.70885881794285,132.68969482538057,50.0,50.0,50.0
735.0,45.0,30.4,0.015012345679012344,12.010148190216649,11.488512365578998,8727.858110341118,308.61171359603713,155.70915515577514,132.6895229180776,50.0,50.0,50.0
740.0,30.0,30.4,0.033777777777777775,12.13121395475773,11.544910057402257,8784.57445325759,311.69618346975335,154.93282608020678,135.50257606675694,50.0,50.0,50.0
740.0,35.0,30.4,0.024816326530612245,12.131229766173178,11.544903009573648,8784.574910930553,311.6958686295573,154.9336063265904,135.50212119254948,50.0,50.0,50.0
740.0,40.0,30.4,0.019,12.131239765417025,11.544898552496758,8784.575200381109,311.69566952242656,154.9340997603519,135.50183352722894,50.0,50.0,50.0
740.0,45.0,30.4,0.015012345679012344,12.131246753719356,11.54489543751423,8784.575402673423,311.69553036905614,154.9344446140447,135.50163248212414,50.0,50.0,50.0
745.0,30.0,30.4,0.033777777777777775,12.25183891471479,11.601771448946277,8841.560865502202,314.78113711643823,154.14440369914587,138.32677273514574,50.0,50.0,50.0
745.0,35.0,30.4,0.024816326530612245,12.251857426279775,11.60176322416019,8841.56132938583,314.7807769166685,154.14529971959965,138.32624782340824,50.0,50.0,50.0
745.0,40.0,30.4,0.019,12.251869441453755,11.601757885759978,8841.561630487431,314.7805431232175,154.14588129553135,138.32590712181462,50.0,50.0,50.0
745.0,45.0,30.4,0.015012345679012344,12.251877648424957,11.601754239365242,8841.561836160503,314.7803834299982,154.1462785422335,138.32567440507663,50.0,50.0,50.0
750.0,30.0,30.4,0.033777777777777775,12.371982526850635,11.659119744409388,8898.81842309117,317.86685472318084,153.34278410315594,141.16288745267755,50.0,50.0,50.0
750.0,35.0,30.4,0.024816326530612245,12.37200416657557,11.65911015944306,8898.818886309495,317.8664434484769,153.34381151275878,141.1622826853733,50.0,50.0,50.0
750.0,40.0,30.4,0.019,12.37201813592242,11.659103971953796,8898.819185351122,317.8661779520286,153.3444747513581,141.1618922818153,50.0,50.0,50.0
750.0,45.0,30.4,0.015012345679012344,12.372027632086311,11.659099765789529,8898.819388642029,317.8659974706642,153.34492561278867,141.16162689057134,50.0,50.0,50.0
